Athlete,Event,WP Open,Navy Open,Navy,Penn. St.,Spring.,Army,Spring.,Penn St.,USAG,ECAC,NCAA,S. High,C. High
,,Jan. 10-11,Jan. 18,Jan. 25,Feb. 15,Feb. 23,Mar. 7,Mar. 8,Mar. 14,Mar. 27-28,Apr. 4,Apr. 17-18,,
"Baytop, M.",FE,,,,,,,,,,,,,
"Baytop, M.",PH,11.65,11.6,11.6,11.25,12.85,12.95,12.35,,,,,12.95,12.95
"Baytop, M.",R,,,,,,,,,,,,,
"Baytop, M.",HB,,12.35,11.95,11.7,11.9,,,,,,,12.35,12.35
"Bowman, C.",FE,,,,,,,,,,,,,
"Bowman, C.",PH,,,,,,,,,,,,,
"Bowman, C.",R,,,,,,,,,,,,,
"Bowman, C.",VT,,,,,,,,,,,,,
"Bowman, C.",PB,,,,,,,,,,,,,
"Bowman, C.",HB,12.2,12.15,12.6,11.6,12.85,11.55,,,,,,12.85,12.85
"Bowman, C.",AA,,,,,,,,,,,,,
"Creelman, I.",FE,,,,,,,,,,,,,13.35
"Creelman, I.",VT,,,,,,,,,,,,,13.95
"Creelman, I.",PB,,,,,,,,,,,,,13.15
"Creelman, I.",HB,,,,,,,12.55,,,,,12.55,13.4
"Cuy, A.",FE,12.5,12.4,,,,,,,,,,12.5,12.5
"Cuy, A.",PH,11.5,12.2,10.95,,,,,,,,,12.2,12.2
"Cuy, A.",R,,,,,,,,,,,,,
"Cuy, A.",VT,13.65,13.7,13.7,13.8,13.6,13.85,14.05,,,,,14.05,14.05
"Cuy, A.",PB,12.65,12.9,13.1,11.55,13.55,10.95,13.2,,,,,13.55,13.55
"Cuy, A.",HB,12.5,12.1,12,12.45,12.4,12.85,11.5,,,,,12.85,12.85
"Cuy, A.",AA,,,,,,,,,,,,,
Fugett,FE,,,,,,,,,,,,,14.2
Fugett,PH,,,,,,,,,,,,,13.5
Fugett,VT,,,,,,,,,,,,,13.4
Fugett,PB,,,,,,,,,,,,,13.25
Fugett,HB,,,,,,,,,,,,,12.65
"Gulotta, C.",FE,,,,,,,,,,,,,
"Gulotta, C.",PH,11.9,10.2,,12.5,12.95,13,13,,,,,13,13.1
"Gulotta, C.",VT,,,,,,,,,,,,,
"Gulotta, C.",HB,,,,,,,,,,,,,
"Kula, J.",FE,12.25,,,,,,,,,,,12.25,12.25
"Kula, J.",R,11.9,,,11.2,,,,,,,,11.9,11.9
"Kula, J.",VT,13.25,13.6,13.15,13.1,,,,,,,,13.6,13.6
"Kula, J.",PB,11.35,12.45,12.55,,,,,,,,,12.55,12.55
"Lillie, C.",FE,,13.8,13.15,12.85,13.05,13.95,,,,,,13.95,13.95
"Lillie, C.",PH,,,11.35,11.55,12.55,,,,,,,12.55,12.55
"Lillie, C.",R,,12.8,12.65,11.7,13.3,12.95,12.2,,,,,13.3,13.3
"Lillie, C.",VT,14.05,14.1,14.25,14.4,14.15,14.4,13.45,,,,,14.4,14.566
"Lyubovsky, A.",FE,12.65,12.9,12.95,12.85,12.95,,13.1,,,,,13.1,13.35
"Lyubovsky, A.",PH,11.75,11.35,11.05,,12.3,,10.8,,,,,12.3,12.3
"Lyubovsky, A.",R,12.5,12.45,12.85,,13.1,13.35,12.95,,,,,13.35,13.35
"Lyubovsky, A.",VT,13.85,14.2,13.65,13.85,13.95,13.9,13.9,,,,,14.2,14.2
"Lyubovsky, A.",PB,12.45,12.4,13.5,13.35,14.45,13.95,12.2,,,,,14.45,14.45
"Lyubovsky, A.",HB,11.25,12.2,13.25,12.7,11.9,14.6,10.65,,,,,14.6,14.6
"Lyubovsky, A.",AA,74.45,75.5,77.25,,78.65,,73.6,,,,,78.65,78.65
"Marsh, C.",FE,,,,,,,,,,,,,
"Marsh, C.",PH,12.9,12.85,12.6,13.3,13.1,12.4,12.6,,,,,13.3,13.3
"Marsh, C.",R,12.6,12.45,13,13.4,13.6,13.65,13.5,,,,,13.65,13.65
"Marsh, C.",VT,,,,,,,,,,,,,
"Marsh, C.",PB,11.1,12.8,13.1,12.35,12.95,13.45,12.65,,,,,13.45,13.45
"Marsh, C.",HB,,,,,,,,,,,,,
"Marsh, C.",AA,,,,,,,,,,,,,
"O'Neill, T.",FE,13.05,12.85,12.55,13.15,,13.05,12.9,,,,,13.15,14.1
"O'Neill, T.",PH,,,,,,,,,,,,,12.05
"O'Neill, T.",R,,,,,,,,,,,,,
"O'Neill, T.",VT,13.95,14.05,13.9,13.9,14,13.9,14,,,,,14.05,14.55
"Palma, T.",FE,,,13.5,,14,13.7,13.9,,,,,14,14.25
"Palma, T.",PH,,,,,,,,,,,,,11.65
"Palma, T.",R,,,,,,,,,,,,,
"Palma, T.",VT,,,,,,,,,,,,,14.05
"Palma, T.",PB,,,12.4,12.75,13.25,,,,,,,13.25,13.35
"Palma, T.",HB,,,,,,,,,,,,,12.55
"Palma, T.",AA,,,,,,,,,,,,,
"Petras, Z.",FE,13.1,13,13.2,13.3,13.4,13.3,12.75,,,,,13.4,13.4
"Petras, Z.",R,11.7,12.3,12.8,12.55,13.5,12.95,12.1,,,,,13.5,13.5
"Petras, Z.",HB,,,,,,,,,,,,,
"Portofee, K.",FE,11.95,,,13.5,12.9,13.8,13.05,,,,,13.8,13.8
"Portofee, K.",PH,9.75,,,,,,,,,,,9.75,11.5
"Portofee, K.",R,11.1,,,,,,,,,,,11.1,12.85
"Portofee, K.",VT,13.55,,,13.8,13.55,14,13.9,,,,,14,14
"Portofee, K.",PB,5.2,,,,,,,,,,,5.2,12.7
"Portofee, K.",HB,10.3,,12.4,12.1,11.75,,,,,,,12.4,12.85
"Portofee, K.",AA,61.85,,,,,,,,,,,61.85,75
"Ross, R.",FE,12.35,13.15,12.5,12.75,12.95,,,,,,,13.15,13.15
"Ross, R.",PH,,,,,,,,,,,,,
"Ross, R.",R,,,,,,,,,,,,,
"Ross, R.",VT,,,,,,,,,,,,,13.4
"Ross, R.",PB,,,,,,,,,,,,,
"Ross, R.",HB,12.25,12.1,,,,,,,,,,12.25,12.25
"Ross, R.",AA,,,,,,,,,,,,,
"Schrandt, S.",PH,13.05,12.75,11.7,11.5,13.55,12.95,12.2,,,,,13.55,13.9
"Schrandt, S.",R,12.5,12.2,12.5,11.9,12.9,,,,,,,12.9,12.9
"Schrandt, S.",VT,,13.7,13.45,,12.6,,,,,,,13.7,13.7
"Schrandt, S.",PB,12.35,12.65,,12.5,13.25,12.9,12.65,,,,,13.25,13.25
"Winneg, N.",FE,,12.05,12.05,,,,,,,,,12.05,12.5
"Winneg, N.",PH,12.5,11.35,11.95,11.4,13.15,12.85,12.4,,,,,13.15,13.15
"Winneg, N.",R,12.9,12.35,12.05,12.4,13.25,13.6,12.5,,,,,13.6,13.6
"Winneg, N.",VT,,13.35,12.9,,,,,,,,,13.35,13.35
"Winneg, N.",PB,11.95,11.65,12.2,11.6,13.45,12.8,12.4,,,,,13.45,13.45
"Winneg, N.",HB,11.9,12.25,12.25,12,12.6,12.95,12.05,,,,,12.95,12.95
"Winneg, N.",AA,,73,73.4,,,,,,,,,73.4,75.65
Team,FE,63.25,65.7,65.35,65.65,66.35,67.8,65.7,,,,,67.8,69.65
Team,PH,62,60.75,59.2,60.25,65.6,64.15,62.55,,,,,65.6,68.6
Team,R,62.4,62.35,63.8,61.95,66.75,66.5,63.25,,,,,66.75,70.9
Team,VT,69.05,69.75,68.95,69.75,69.25,70.05,69.3,,,,,70.05,70.9
Team,PB,60.75,63.2,64.65,62.55,67.95,64.05,63.1,,,,,67.95,69
Team,HB,60.1,61.05,62.5,60.95,61.65,65.3,59.65,,,,,65.3,69.4
Team,Total,377.55,382.8,384.45,381.1,397.55,397.85,383.55,,,,,397.85,412.7
