Athlete,Event,Stanford,Navy,Cal,Spring.,Oklahoma,Air Force,ECAC,NCAA,S. High,C. High
,,Feb. 10,Feb. 21,Feb. 24,Feb. 28,Mar. 6,Mar. 27,Apr. 3,Apr. 16-17,,
"Baytop, M.",FE,,,,,,,,,,
"Baytop, M.",PH,11.6,11.75,10.75,,,11.3,,,11.75,12.95
"Baytop, M.",R,,,,,,,,,,
"Baytop, M.",HB,,,,,,,,,,12.35
"Bowman, C.",FE,,,,,,,,,,
"Bowman, C.",PH,,,,,,,,,,
"Bowman, C.",R,,,,,,,,,,
"Bowman, C.",VT,,,,,,,,,,
"Bowman, C.",PB,,,,,,,,,,
"Bowman, C.",HB,,,,,,,,,,12.85
"Bowman, C.",AA,,,,,,,,,,
"Creelman, I.",FE,12.4,12.75,12.95,12.5,12.7,12.7,13.55,13.1,13.55,13.55
"Creelman, I.",VT,13.4,14.1,14.2,13.8,13.7,13.35,14.2,13.866,14.2,14.2
"Creelman, I.",PB,11.95,12.85,11.55,,12.65,12.85,12.1,11.766,12.85,13.15
"Creelman, I.",HB,12.25,12.4,11.15,12.75,13,13,13.15,12.566,13.15,13.4
"Cuy, A.",FE,12.4,12.9,12.25,11.5,12.95,13,12.8,12.533,13,13
"Cuy, A.",PH,11.7,11.8,11.3,,11.3,11.9,11.85,11.3,11.9,12.2
"Cuy, A.",R,11.7,12.45,12.25,12.5,12.45,12.3,11.75,12.333,12.5,12.5
"Cuy, A.",VT,13.8,13.35,13.95,13.85,13.6,13.65,13.6,13.7,13.95,14.05
"Cuy, A.",PB,12.9,12.75,12.15,12.1,13.2,12.65,13.1,12.666,13.2,13.5
"Cuy, A.",HB,11.75,12.05,11.85,12.2,12.2,12.4,12.5,12.433,12.5,12.85
"Cuy, A.",AA,74.25,75.3,73.75,,75.7,75.9,75.6,74.965,75.9,75.9
Fugett,FE,13.35,13.45,13.15,13.25,13.3,13.7,13.95,,13.95,14.2
Fugett,PH,12.6,12.1,12.55,12.05,11.7,12.1,12.05,6.766,12.6,13.5
Fugett,VT,,,,,,,,,,13.4
Fugett,PB,,,,,,,,,,13.25
Fugett,HB,,,,,,,,,,12.65
"Gulotta, C.",FE,,,,,,,,,,
"Gulotta, C.",PH,12.7,11.45,12,12.05,12,12.35,12.35,9.933,12.7,13.1
"Gulotta, C.",VT,,,,,,,,,,
"Gulotta, C.",HB,,,,,,,,,,
"Kula, J.",FE,,,,11.95,,,,,11.95,12.25
"Kula, J.",R,11.3,,,11.15,,,,,11.3,11.9
"Kula, J.",VT,13.6,13.55,13.6,13.5,13.55,13.85,14.15,13.766,14.15,14.15
"Kula, J.",PB,,,,,,,,,,12.55
"Kuzmenchuk, A.",FE,,,,,,,,,,
"Kuzmenchuk, A.",PH,,,,10.65,,,,,10.65,10.65
