Athlete,Event,WP Open,Navy Open,Navy-2,Ohio St.,Spring.,Army,Spring.,Navy-3,USAG,ECAC,NCAA,S. High,C. High
,,Jan. 14-15,Jan. 22,Jan. 29,Feb. 19,Feb. 25,Mar. 5,Mar. 6,Mar. 12,Mar. 25-26,Apr. 2,Apr. 15-16,,
"Baytop, M.",FE,,11.35,11.35,12.2,12.9,12.9,12,11.45,12.5,11.9,12.833,12.9,12.9
"Baytop, M.",PH,,11.05,11.6,11.05,11.35,11.35,12,11.15,11.95,10.35,11.6,12,12.95
"Baytop, M.",HB,,11.55,11.5,,,,,,,,,11.55,12.35
"Bowman, C.",VT,,,,,,,,,,,,,
"Bowman, C.",HB,10.25,10.8,,11.8,12.95,12.35,11.65,13.05,11.65,11.15,11.3,13.05,13.05
"Cuy, A.",FE,12.7,12.85,,12.25,13.05,13.2,13.1,13,13.2,12.8,12.866,13.2,13.2
"Cuy, A.",PH,11.1,10.9,12.35,10.5,12.3,11.2,12.3,12.2,11.75,11.85,11.7,12.35,12.35
"Cuy, A.",R,11.95,11.7,11.9,12.15,12.25,12.4,12.5,12.65,12.5,13.3,12.233,13.3,13.3
"Cuy, A.",VT,13.65,14.05,,13.45,14.1,13.7,13.65,13.95,13.5,14.05,13.6,14.1,14.1
"Cuy, A.",PB,10,12.5,11.9,12.55,13.65,13.55,12.7,13.45,12.55,13.65,13.166,13.65,13.65
"Cuy, A.",HB,12.2,11.3,9.35,11.2,12.7,13,12.4,11.5,12.05,12.35,11.9,13,13
"Cuy, A.",AA,71.65,73.3,,72.1,78.05,77.05,76.65,76.75,75.55,78,75.465,78.05,78.05
Gulotta,FE,,,,12.6,12.5,12.45,12.7,12.25,12.65,12.65,12.666,12.7,12.7
Gulotta,PH,,,,12.3,12.4,11.6,12.4,12.6,12.85/12.6,11.95,12.2,12.85,13.1
Gulotta,VT,,,,,,,,,,,,,
Gulotta,HB,,,,,,,,,,,,,
"Harrington, W.",FE,13.1,12.05,13.05,12.65,12.95,13.05,12.2,12.75,13.3,13.2,12.433,13.3,13.3
"Harrington, W.",PH,,,,,,,,,,,,,
"Harrington, W.",R,,11.7,,11.9,11.05,,,,,,,11.9,11.9
"Harrington, W.",VT,13.35,13.4,12.9,13.15,13.1,13.1,13.55,13.15,13.25,13.45,12.933,13.55,13.55
"Harrington, W.",PB,,11.75,11.65,11.1,11.95,11.35,,,,,,11.95,11.95
"Harrington, W.",HB,,11.25,11.3,11.4,11.65,10.75,,,11.4,,,11.65,11.65
"Harrington, W.",AA,,,,,,,,,,,,,
"Irwin, J.",FE,,,,,,,,,,,,,
"Irwin, J.",PH,,,,,,,,,,,,,
"Irwin, J.",R,,,,,,,,,,,,,
"Irwin, J.",VT,,,,13,13.15,13.35,13.2,13.7,13.65,12.9,12.766,13.7,13.7
"Irwin, J.",PB,,,,,,,,,,,,,
"Irwin, J.",HB,,,,,,,,,,,,,
"Irwin, J.",AA,,,,,,,,,,,,,
"Kuzmenchuk, A.",FE,,,,,,,,,,,,,
"Kuzmenchuk, A.",PH,11.1,,,,,,,,,,,11.1,10.65
"Kuzmenchuk, A.",R,12,,11.6,11.2,12.5,12.6,12,12.5,12.5,12.85,12.4,12.85,13.1
"Kuzmenchuk, A.",VT,,,12.7,12.75,,,,,,,,12.75,12.75
"Kuzmenchuk, A.",PB,12.05,,9.95,11.7,12.75,12.4,12.45,12.9,12.45,12.6,12.633,12.9,12.9
"Kuzmenchuk, A.",HB,11.65,,,,,,12.5,12.8,,12.85,12.7,12.85,12.95
"Kuzmenchuk, A.",AA,,,,,,,,,,,,,
"Lee, S.",FE,12.4,12.6,11.8,11.8,12.25,13.35,13.15,12.25,13.2,12.75,12.833,13.35,13.35
"Lee, S.",PH,12.3,11.35,9.3,,,,,,,,,12.3,12.3
"Lee, S.",R,,,,,,,,,,,,,
"Lee, S.",VT,14.25/14.45,13.7,13.75,13.7,13.9,14,14,13.65,14,14.25,14,14.45,14.45
"Lee, S.",PB,11.1,12.9,11.45,12.8,13.05,13.2,11.4,13,13.2/11.65,13.9,11.633,13.9,13.9
"Lee, S.",HB,10.25,12.35,12.3,12.5,12.85,12.15,12,13.4,12.2/11.175,13.2,9.7,13.4,13.4
"Lee, S.",AA,,,,,,,,,,,,,
"Marsh, C.",FE,12.25,,12.4,,,,,12.7,12.45,13.05,12.933,13.05,13.05
"Marsh, C.",PH,13.1/12.15,11.55,12.95,11.75,12.55,12.8,12.9,12.95,12.75,12.8,12.2,13.1,13.35
"Marsh, C.",R,12.5,13.2,11.45,13.1,13.55,12.85,13.25,12.9,12.6,14.45,12.9,14.45,14.45
"Marsh, C.",VT,12.8,,12.35,,,,,12.75,12.8,12.95,12.9,12.95,12.95
"Marsh, C.",PB,13.15/13.2,13.45,11.6,12.3,13.3,13.2,12.7,12.9,13.35/13.025,13.25,13.233,13.45,13.5
"Marsh, C.",HB,11.7,,12.3,11.7,12.55,12.05,11.7,12.3,12,12.25,11.733,12.55,12.55
"Marsh, C.",AA,75.5,,73.05,,,,,76.5,75.95,78.75,75.899,78.75,78.75
"Patrick, Z.",FE,12.7,12.2,12.35,,,,,,,,,12.7,12.7
"Patrick, Z.",PH,,,,,,,,,,,,,
"Patrick, Z.",R,12.7,12.65,11.95,12.7,12.6,13,12.3,12.65,13.05/12.7,13.1,12.966,13.1,13.1
"Patrick, Z.",VT,13.8,13.45,13.45,,13.75,13.65,13.9,13.7,13.95,13.55,13,13.95,13.95
"Patrick, Z.",PB,11.75,12.25,,,,,12.25,12.35,12.2,12.3,9.533,12.35,12.35
"Patrick, Z.",HB,,,,,,,,,,,,,
"Patrick, Z.",AA,,,,,,,,,,,,,
"Piper, S.",PH,11.4,11.25,10.75,11.3,11.2,9.9,12.35,11.65,12.15,11.95,11.766,12.35,12.35
"Postell, A.",FE,10,,,,,,,,,,,10,10
"Postell, A.",PH,12.55,,,,,,,,,,,12.55,12.55
"Postell, A.",R,,13,12.25,,,12.75,12.6,13.1,12.7,13.65,11.833,13.65,13.65
"Postell, A.",PB,,,,,,,,,,,,,12.9
"Postell, A.",HB,11.05,,,,,,,,,,,11.05,12.95
"Postell, A.",AA,,,,,,,,,,,,,
"Ross, R.",FE,,,11.65,,,,,,,,,11.65,13.15
"Ross, R.",PH,,,,,,,,,,,,,
"Ross, R.",VT,,,12.65,,,,,,,,,12.65,13.4
"Ross, R.",PB,,,,,,,,,,,,,
"Ross, R.",HB,,,11.8,,,,,,,,,11.8,12.25
"Smith, S.",FE,,,,,,,,,,,,,
"Smith, S.",PH,,,,,,,,,,,,,
"Smith, S.",R,,,,,,,,,,,,,
"Smith, S.",VT,,,,,,,,,,,,,
"Smith, S.",PB,,,,,,,,,,,,,
"Smith, S.",HB,,,,,,,,,,,,,
"Smith, S.",AA,,,,,,,,,,,,,
Team,FE,63.2,61.05,60.2,61.5,63.65,64.95,63.15,61.7,64.85,63.3,,64.95,69.65
Team,PH,59,56.1,57,56.9,59.8,56.85,61.95,60.55,61.45,58.9,,61.95,68.6
Team,R,59.15,62.25,59.15,61.05,61.95,63.6,62.65,63.8,63.35,67.35,,67.35,70.9
Team,VT,67.6,67.95,65.45,66.05,68,67.8,68.3,68.15,68.35,68.2,,68.35,70.9
Team,PB,58.05,62.85,56.55,60.45,64.7,63.7,61.5,64.6,63.75,65.7,,65.7,69
Team,HB,55.4,57.25,56.25,58.6,62.7,60.3,60.25,63.05,59.3,61.8,,63.05,69.4
Team,AA,362.4,367.45,354.6,364.55,380.8,377.2,377.8,381.85,381.05,385.25,,385.25,412.7
