Athlete,Event,Simpson,Navy Open,Navy-2,Springfield,Okla.,Penn. St.,Navy-3,Cal,Penn St.,USAG,ECAC,NCAA,S. High,C. High
,,Jan. 15,Jan. 21,Jan. 28,Feb. 5,Feb. 11,Mar. 3,Mar. 5,Mar. 11,Mar. 19,Mar. 24-25,Apr. 1,Apr. 14-15,,
"Baytop, M.",FE,12.45,12.35,12,13.1,13,13.25,12.45,13.4,12.75,13.2,13.05,12.866,13.4,13.4
"Baytop, M.",PH,11.35,11.8,11.7,11.75,11.7,12.5,12.2,12.2,12.25,11.75,11.85,10.733,12.5,12.95
"Baytop, M.",HB,,,,,,,,,,,,,,12.35
"Bowman, C.",VT,,,,,,,,,,,,,,
"Bowman, C.",HB,,,,11.95,,,11.6,,11.45,,,,11.95,13.05
"Cuy, A.",FE,12.6,12.4,,,,,,12.95,12.85,13,13.15,12.8,13.15,13.2
"Cuy, A.",PH,10.65,11.7,12.1,12.55,11.9,11.9,12.35,11.45,12.8,12.2,11.45,10.866,12.8,12.8
"Cuy, A.",R,12.7,11.35,,,,,12.25,11.55,12.25,13.1/12.8,12.7,11.866,13.1,13.3
"Cuy, A.",VT,13.65,13.3,13.75,14,13.7,13.9,13.75,14.1,13.1,14.15/13.9,13.75,12.9,14.15,14.1
"Cuy, A.",PB,11.7,13.6,12.8,12.1,13.75,13.15,13.8,13.3,13.1,13.55/13.45,12.45,12.966,13.8,13.8
"Cuy, A.",HB,12.15,12,12.3,12.45,11.6,12.25,12.75,12.6,12.65,12.45,12.65,12.166,12.75,13
"Cuy, A.",AA,73.45,74.35,,,,,,75.95,76.75,78.45,76.15,73.564,78.45,78.45
"Fu, M.",FE,,,,,13.05,12.9,,12.9,,12.15,12.55,12.066,13.05,13.05
"Fu, M.",PH,9.4,,,11.55,10.9,12.2,,10.3,,11.9,11.1,11,12.2,12.2
"Fu, M.",R,,,12.45,12.7,12.4,12.25,12.6,12.6,12.25,11.85,12.9,12.5,12.9,12.9
"Fu, M.",VT,,,,13.5,13.95,14,13.65,13.75,13.85,12.65,13.65,13.766,14,14
"Fu, M.",PB,12.75,11.1,,,12.6,11.8,,12.5,12.7,11.55,12.7,11.666,12.75,12.75
"Fu, M.",HB,12.65,11.3,9.3,13.2,12.35,12.1,,11.6,,12.9/12.25,12.8,12.433,13.2,13.2
"Fu, M.",AA,,,,,75.25,75.25,,73.65,,73,75.7,73.431,75.7,75.7
"Harrington, W.",FE,11.3,12.05,12.15,13.15,13.3,13.55,13.2,13.8,13.25,13,13,12.766,13.8,13.8
"Harrington, W.",PH,,,,,,,,,,,,,,
"Harrington, W.",R,,,,11.65,,,,,,,,,11.65,11.9
"Harrington, W.",VT,13,,,,,,,,,,,,13,13.55
"Harrington, W.",PB,11.1,12.35,12.2,10.1,11.4,,13,12.45,13,12,12.6,12.266,13,13
"Harrington, W.",HB,,,,,,,,,,,,,,11.65
"Harrington, W.",AA,,,,,,,,,,,,,,
"Irwin, J.",VT,,,,,,,,,,,,,,13.7
"Kasiski, G.",FE,,,,,,,,,,,,,,13.9
"Kasiski, G.",PH,,,,,,,,,,,,,,
"Kasiski, G.",R,,,,,,,,,10.95,12.15,11.2,,12.15,13.4
"Kasiski, G.",VT,,,,,,,,,,,,,,14.9
"Kasiski, G.",PB,,,,,,,,,,,,,,
"Kasiski, G.",HB,,,,,,,,,,,,,,
"Kasiski, G.",AA,,,,,,,,,,,,,,
"Kuzmenchuk, A.",FE,,,,,,,,,,,,,,
"Kuzmenchuk, A.",PH,,,,,,,,,,,,,,11.1
"Kuzmenchuk, A.",R,12.05,11.95,12.15,12.65,12,12.25,12.25,12.3,12.2,11.2,12.2,,12.65,13.1
"Kuzmenchuk, A.",VT,,,,,,,,,,,,,,12.75
"Kuzmenchuk, A.",PB,13.2,12.25,12.55,11.45,,13.05,11.05,12.95,13,12.8,13,12.966,13.2,13.2
"Kuzmenchuk, A.",HB,,12.2,11.35,11.6,12.35,12.7,,12.7,12.15,12.65,12.15,11.333,12.7,12.95
"Kuzmenchuk, A.",AA,,,,,,,,,,,,,,
"Lee, S.",FE,,,,,,,,,,,,,,13.35
"Lee, S.",PH,,,,,,,,,,,,,,12.3
"Lee, S.",R,,,,,,,,,,,,,,
"Lee, S.",VT,,,,,,,,,,,,,,14.45
"Lee, S.",PB,,,,,,,,,,,,,,13.9
"Lee, S.",HB,,,,,,,,,,,,,,13.4
"Lee, S.",AA,,,,,,,,,,,,,,
"Marsh, C.",FE,12.15,,,13.45,,13.3,11.55,11.4,11.65,,,,13.45,13.45
"Marsh, C.",PH,12,13.2,11.45,12.85,12.45,12.95,12.8,11.9,,12.7/12.9,12.4,12,13.2,13.35
"Marsh, C.",R,13.05,12.45,13.15,12.85,13.45,13.35,12.3,12.45,13.7,12.6/12.95,13.7,13.566,13.7,14.45
"Marsh, C.",VT,,,,,,,12.35,12.65,,,,,12.65,12.95
"Marsh, C.",PB,12.05,13.85,12.35,12.8,12.9,13.2,12.65,13.25,13.05,13.7/11.45,12.9,13.166,13.85,13.85
"Marsh, C.",HB,11.95,,,,,,12.2,11.95,,,,,12.2,12.55
"Marsh, C.",AA,,,,,,,73.85,73.6,,,,,73.85,78.75
"Patrick, Z.",FE,,,,,,,,,,,,,,"12,7"
"Patrick, Z.",PH,,,,,,,,,,,,,,
"Patrick, Z.",R,12.8,12.25,12.7,12.4,12.3,12.7,12.5,11.8,,12.45,12.75,11.533,12.8,13.1
"Patrick, Z.",VT,13.5,13.65,13.45,13.7,13.4,,,,,,,,13.7,13.95
"Patrick, Z.",PB,,,,12.8,12.6,12.55,12.35,,,,12.7,12.466,12.8,12.8
"Patrick, Z.",HB,,,,,,,,,,,,,,
"Patrick, Z.",AA,,,,,,,,,,,,,,
"Peazant, T.",FE,,,9.05,13.05,13.35,13.2,12.8,13.55,13.3,12.9,13.05,12.433,13.55,13.55
"Peazant, T.",PH,,,,,,,,,,,,,,
"Peazant, T.",R,,,,,,,,,,,,,,
"Peazant, T.",VT,,13.05,,,,13.85,13.75,13.9,14.15,14.35/13.95,14.25,14.066,14.35,14.15
"Peazant, T.",PB,,,,,,,,,,,,,,
"Peazant, T.",HB,,,,,,,,,,,,,,
"Peazant, T.",AA,,,,,,,,,,,,,,
"Pizem, R.",FE,,,,,,,,,,,,,,
"Pizem, R.",PH,10.95,11.85,11.75,10.95,12.55,11.4,11.1,11.55,12.25,11.15,10.6,,12.55,12.55
"Pizem, R.",R,,,,,,,,,,,,,,
