Athlete,Event,WP Open,Navy Open,Navy,Springfield,Cal,Illinois,Greenville,Army,Navy,USAG,ECAC,NCAA,S. High,C. High
,,Jan. 12-13,Jan. 20,Jan. 27,Feb. 11,Feb. 18,Mar. 1,Mar. 2,Mar. 9,Mar. 16,Mar. 22-23,Apr. 6,Apr. 19-20,,
"Baytop, M.",FE,,12.45,12.5,12.9,12.35,13.15,12.7,13.3,12.65,12.9,13.4,,13.4,13.4
"Baytop, M.",PH,,,,12.55,12.25,11.2,11.1,11.6,11.95,,,,12.55,12.95
"Baytop, M.",HB,,,,,,,,,,,,,,12.35
"Cuy, A.",FE,12,,,,12.65,12.75,13.4,,13.25,13,13.25,,13.4,13.4
"Cuy, A.",PH,,11.65,12.15,12.4,12.45,11.55,11.35,11.65,12.35,11.1,11.65,,12.45,12.8
"Cuy, A.",R,,,12.7,12.4,11.9,11.75,12.35,12.05,12.6,11.85,11.8,,12.7,13.3
"Cuy, A.",VT,,,,14.1,13.85,13.95,13.8,13.7,14.15,13.9,14.15,,14.15,14.15
"Cuy, A.",PB,,,,12.7,13.15,12.5,13.3,13,13.9,12,12.65,,13.9,13.9
"Cuy, A.",HB,,,11.7,12.45,12.6,12.7,11.15,12.15,10.75,12.25,11.5,,12.7,13
"Cuy, A.",AA,,,,,76.6,75.2,75.35,,77,74.1,75,,77,78.45
"Fu, M.",FE,11.55,,,,,,,,,,,,11.55,13.05
"Fu, M.",PH,12.2,,10.9,,,,9,,,,,,12.2,12.2
"Fu, M.",R,11.6,12.05,12.4,,12.2,,,,,,,,12.4,12.9
"Fu, M.",VT,13.65,,,13.9,,13.7,,,13.8,,,,13.9,14
"Fu, M.",PB,10.5,12.4,10.5,,12.05,,12.8,12.25,,,,,12.8,12.8
"Fu, M.",HB,10,,,,,,,,,,,,10,13.2
"Fu, M.",AA,69.5,,,,,,,,,,,,69.5,75.7
"Grapsas, A.",FE,,,,,,,,,,,,,,
"Grapsas, A.",PH,,,,,,,,,,,,,,
"Grapsas, A.",R,,,,,,,,,,,,,,
"Grapsas, A.",VT,,,,,,,,,,,,,,
"Grapsas, A.",PB,,,,,,,,,,,,,,
"Grapsas, A.",HB,,,,,,,,,,,,,,
"Grapsas, A.",AA,,,,,,,,,,,,,,
"Greenly, N.",FE,,,,,,,,,,,,,,
"Greenly, N.",PH,10.4,9.8,,,,,,,,,,,10.4,10.4
"Greenly, N.",R,12.7,12.35,12.65,13.25,13.4,13.05,12.95,13.25,13.1,12.75/13.2,13.3,,13.4,13.4
"Greenly, N.",VT,,13.5,,,,,,,,,,,13.5,13.5
"Greenly, N.",PB,11.8,,,,12.4,7.25,,,,,,,12.4,12.4
"Greenly, N.",HB,,,,,,,,,,,,,,
"Greenly, N.",AA,,,,,,,,,,,,,,
"Harrington, W.",FE,12.15,10.65,11.65,12.55,12.6,,,13.65,13.4,13.3,13.1,,13.65,13.8
"Harrington, W.",PH,,,,,,,,,,,,,,
"Harrington, W.",R,,,,,,,,,,,,,,11.9
"Harrington, W.",VT,,,,,,,,,,,,,,13.55
"Harrington, W.",PB,12.3,12.6,11.9,12.2,,,,,,,,,12.6,13
"Harrington, W.",HB,,9.3,,,,,,,,,,,9.3,11.65
"Harrington, W.",AA,,,,,,,,,,,,,,
"Irwin, J.",VT,,,,,,,,,,,,,,13.7
"Kasiski, G.",FE,10.8,,11.75,12.8,12.05,,12.9,14.3,12.4,13.75/13.3,13.5,,14.3,14.3
"Kasiski, G.",PH,,,,,,,,,,,,,,
"Kasiski, G.",R,10.85,,,,,,,12.6,13.1,12.4/13.5,12.55,,13.5,13.5
"Kasiski, G.",VT,,,,,13.2,,,13.4,13.35,13.95,14.45,,14.45,14.9
"Kasiski, G.",PB,,,,,,,,,,,,,,
"Kasiski, G.",HB,,,,,,,,,,,,,,
"Kasiski, G.",AA,,,,,,,,,,,,,,
"Kuzmenchuk, A.",FE,,,,,,,,,,,,,,
"Kuzmenchuk, A.",PH,,,,,,10.7,,11.8,,,,,11.8,11.8
"Kuzmenchuk, A.",R,,11.8,12.75,12.55,12.15,12.6,12,12.5,12.55,12.15,12.55,,12.75,13.1
"Kuzmenchuk, A.",VT,,,,,,,,,,,,,,12.75
"Kuzmenchuk, A.",PB,,12.5,12.7,12.8,12.7,13.3,12.5,13.1,13.45,11,12.25,,13.45,13.45
"Kuzmenchuk, A.",HB,,,,,,,,,,,12.85,,12.85,12.95
"Kuzmenchuk, A.",AA,,,,,,,,,,,,,,
"Lee, S.",FE,,,,,,,,,,,,,,13.35
"Lee, S.",PH,,,,,,,,,,,,,,12.3
"Lee, S.",R,,,,,,,,,,,,,,
"Lee, S.",VT,13.65,14.7,14.2,14.45,14.45,14.15,14.45,14.55,14.5,14.25/14.35,14.35,,14.7,14.7
"Lee, S.",PB,13.8,13.6,13.6,13.2,,13.1,13.55,13.25,13.95,13.65/11.95,13.8,,13.95,13.95
"Lee, S.",HB,12.25,11.7,11,11.55,10.6,12.2,12.55,12.8,11.9,12.35,,,12.8,13.4
"Lee, S.",AA,,,,,,,,,,,,,,
"Noyman, J.",FE,,,,,,,,,,,,,,
"Noyman, J.",PH,12.7,11.75,12.15,11.8,12.4,,,10.9,12.05,11.25,12.05,,12.7,12.7
"Noyman, J.",R,,,,,,,,,,,,,,
"Noyman, J.",VT,,,,,,,,,,,,,,
"Noyman, J.",PB,11.65,13.45,12.7,13.2,13.15,,,,11.95,12.75,12.7,,13.45,13.45
"Noyman, J.",HB,,,,,,,,,,,,,,
"Noyman, J.",AA,,,,,,,,,,,,,,
"Patrick, Z.",FE,,,,,,,,,,,,,,12.7
"Patrick, Z.",PH,,,,,,,,,,,,,,
"Patrick, Z.",R,,,,,,,,,,,,,,13.1
"Patrick, Z.",VT,,,13.55,,,,,,,,,,13.55,13.95
"Patrick, Z.",PB,,,,,,12.8,12.95,12.7,12.95,11.9,13.1,,13.1,13.1
"Patrick, Z.",HB,,,,,,,,,,,,,,
"Patrick, Z.",AA,,,,,,,,,,,,,,
"Peazant, T.",FE,10.15,13.15,12.8,13.15,12.1,12.1,,13.25,,13,,,13.25,13.55
"Peazant, T.",PH,,,,,,,,,,,,,,
"Peazant, T.",R,,,,,,,,,,,,,,
"Peazant, T.",VT,13.75,14,13.7,14.2,13.9,14.05,13.8,14.1,,13.6,13.85,,14.2,14.2
"Peazant, T.",PB,,,,,,,,,,,,,,
"Peazant, T.",HB,,,,,,,,,,,,,,
"Peazant, T.",AA,,,,,,,,,,,,,,
"Pizem, R.",FE,12.35,12.05,12.65,,,12.7,11.1,,,,,,12.7,12.7
"Pizem, R.",PH,,11.15,11.8,10.8,11.2,12.1,11.25,12.6,13.05,10.3,12.25,,13.05,13.05
"Pizem, R.",R,,,,,,,,,,,,,,
"Pizem, R.",VT,13.9,14,14,13.6,13.7,14.15,14.05,14.15,14.05,13.85,14,,14.15,14.15
"Pizem, R.",PB,,,,,,,,,,,,,,12.15
"Pizem, R.",HB,11.15,12.25,11.55,13.5,12.75,12.4,13,13.25,12.1,13.25/12.0,13.3,,13.5,13.5
"Pizem, R.",AA,,,,,,,,,,,,,,
"Sikra, E.",FE,,,,,,,,,,,,,,13.25
"Sikra, E.",PH,,,,,,,,,,,,,,
"Sikra, E.",R,,,,,,,,,,,,,,12.55
"Sikra, E.",VT,13.75,14.2,13.55,,,,13.85,,,,,,14.2,14.2
"Sikra, E.",PB,,,,,,,,,,,,,,
"Sikra, E.",HB,11.2,,12.5,13.2,12.45,10.35,12.5,12.8,12.8,12.5,12.5,,13.2,13.2
"Sikra, E.",AA,,,,,,,,,,,,,,
"Smith, S.",FE,,,,,,,,,,,,,,12.6
"Smith, S.",PH,,,,,,,,,,13.5/13.6,13.5,,13.6,13.6
"Smith, S.",R,,,,,,,,,,,,,,
"Smith, S.",VT,,,,,,,,,,,,,,13.5
"Smith, S.",PB,,,,,,,,,,,,,,
"Smith, S.",HB,,,,,,,,,,,,,,11.95
"Smith, S.",AA,,,,,,,,,,,,,,
"Wilkins, E.",FE,,,,,12.5,,12.1,13.45,13.6,13.4,12.95,,13.6,13.6
"Wilkins, E.",PH,,,,,,,,,,,,,,
"Wilkins, E.",R,9.9,10.5,12.6,12.9,12,13.25,13.1,12.6,13.4,12.65/12.4,13,,13.4,13.4
"Wilkins, E.",VT,,,,,,,,,,,,,,
"Wilkins, E.",PB,,,,,,,,,,,,,,
"Wilkins, E.",HB,,12.3,10.75,,,,,12.55,,,,,12.55,12.55
"Wilkins, E.",AA,,,,,,,,,,,,,,
"Zborowski, G.",FE,,12.65,,12.2,,13.15,,,,13.55/12.55,13.15,,13.55,13.55
"Zborowski, G.",PH,11.7,11.35,11.55,12.1,11.8,13.05,12.7,,12.55,12.2,12.35,,13.05,13.05
"Zborowski, G.",R,12.25,10,,12.8,,12.9,12.4,,12.7,12.4,10.45,,12.9,12.9
